id;region
11.12.01;BLANG PIDIE
11.12.02;TANGAN-TANGAN
11.12.03;MANGGENG
11.12.04;SUSOH
11.12.05;KUALA BATEE
11.12.06;BABAH ROT
11.12.07;SETIA
11.12.08;JEUMPA
11.12.09;LEMBAH SABIL
11.13;KAB. GAYO LUES
11.13.01;BLANGKEJEREN
11.13.02;KUTAPANJANG
11.13.03;RIKIT GAIB
11.13.04;TERANGUN
11.13.05;PINING
11.13.06;BLANGPEGAYON
11.13.07;PUTERI BETUNG
11.13.08;DABUN GELANG
11.13.09;BLANGJERANGO
11.13.10;TERIPE JAYA
11.13.11;PANTAN CUACA
11.14;KAB. ACEH JAYA
11.14.01;TEUNOM
11.14.02;KRUENG SABEE
11.14.03;SETIA BHAKTI
11.14.04;SAMPOINIET
11.14.05;JAYA
11.14.06;PANGA
11.14.07;INDRA JAYA
11.14.08;DARUL HIKMAH
11.14.09;PASIE RAYA
11.15;KAB. NAGAN RAYA
11.15.01;KUALA
11.15.02;SEUNAGAN
11.15.03;SEUNAGAN TIMUR
11.15.04;BEUTONG
11.15.05;DARUL MAKMUR
11.15.06;SUKA MAKMUE
11.15.07;KUALA PESISIR
11.15.08;TADU RAYA
11.15.09;TRIPA MAKMUR
11.15.10;BEUTONG ATEUH BANGGALANG
11.16;KAB. ACEH TAMIANG
11.16.01;MANYAK PAYED
11.16.02;BENDAHARA
11.16.03;KARANG BARU
11.16.04;SERUWAY
11.16.05;KOTA KUALASINPANG
11.16.06;KEJURUAN MUDA
11.16.07;TAMIANG HULU
11.16.08;RANTAU
11.16.09;BANDA MULIA
11.16.10;BANDAR PUSAKA
11.16.11;TENGGULUN
11.16.12;SEKERAK
11.17;KAB. BENER MERIAH
11.17.01;PINTU RIME GAYO
11.17.02;PERMATA
11.17.03;SYIAH UTAMA
11.17.04;BANDAR
11.17.05;BUKIT
11.17.06;WIH PESAM
11.17.07;TIMANG GAJAH
11.17.08;BENER KELIPAH
11.17.09;MESIDAH
11.17.10;GAJAH PUTIH
11.18;KAB. PIDIE JAYA
11.18.01;MEUREUDU
11.18.02;ULIM
11.18.03;JANGKA BUAYA
11.18.04;BANDAR DUA
11.18.05;MEURAH DUA
11.18.06;BANDAR BARU
11.18.07;PANTERAJA
11.18.08;TRIENGGADENG
11.71;KOTA BANDA ACEH
11.71.01;BAITURRAHMAN
11.71.02;KUTA ALAM
11.71.03;MEURAXA
11.71.04;SYIAH KUALA
11.71.05;LUENG BATA
11.71.06;KUTA RAJA
11.71.07;BANDA RAYA
11.71.08;JAYA BARU
11.71.09;ULEE KARENG
11.72;KOTA SABANG
11.72.01;SUKAKARYA
11.72.02;SUKAJAYA
11.73;KOTA LHOKSEUMAWE
11.73.01;MUARA DUA
11.73.02;BANDA SAKTI
11.73.03;BLANG MANGAT
11.73.04;MUARA SATU
11.74;KOTA LANGSA
11.74.01;LANGSA TIMUR
11.74.02;LANGSA BARAT
11.74.03;LANGSA KOTA
11.74.04;LANGSA LAMA
11.74.05;LANGSA BARO
11.75;KOTA SUBULUSSALAM
11.75.01;SIMPANG KIRI
11.75.02;PENANGGALAN
11.75.03;RUNDENG
11.75.04;SULTAN DAULAT
11.75.05;LONGKIB
12;SUMATERA UTARA
12.01;KAB. TAPANULI TENGAH
12.01.01;BARUS
12.01.02;SORKAM
12.01.03;PANDAN
12.01.04;PINANGSORI
12.01.05;MANDUAMAS
12.01.06;KOLANG
12.01.07;TAPIAN NAULI
12.01.08;SIBABANGUN
12.01.09;SOSORGADONG
12.01.10;SORKAM BARAT
12.01.11;SIRANDORUNG
12.01.12;ANDAM DEWI
12.01.13;SITAHUIS
12.01.14;TUKKA
12.01.15;BADIRI
12.01.16;PASARIBU TOBING
12.01.17;BARUS UTARA
12.01.18;SUKA BANGUN
12.01.19;LUMUT
12.01.20;SARUDIK
12.02;KAB. TAPANULI UTARA
12.02.01;TARUTUNG
12.02.02;SIATAS BARITA
12.02.03;ADIAN KOTING
12.02.04;SIPOHOLON
12.02.05;PAHAE JULU
12.02.06;PAHAE JAE
12.02.07;SIMANGUMBAN
12.02.08;PURBA TUA
12.02.09;SIBORONG-BORONG
12.02.10;PAGARAN
12.02.11;PARMONANGAN
12.02.12;SIPAHUTAR
12.02.13;PANGARIBUAN
12.02.14;GAROGA
12.02.15;MUARA
12.03;KAB. TAPANULI SELATAN
12.03.01;ANGKOLA BARAT
12.03.02;BATANG TORU
12.03.03;ANGKOLA TIMUR
12.03.04;SIPIROK
12.03.05;SAIPAR DOLOK HOLE
12.03.06;ANGKOLA SELATAN
12.03.07;BATANG ANGKOLA
12.03.14;ARSE
12.03.20;MARANCAR
12.03.21;SAYUR MATINGGI
12.03.22;AEK BILAH
12.03.29;MUARA BATANG TORU
12.03.30;TANO TOMBANGAN ANGKOLA
12.03.31;ANGKOLA SANGKUNUR
12.03.32;ANGKOLA MUARA TAIS
12.04;KAB. NIAS
12.04.05;HILIDUHO
12.04.06;GIDO
12.04.10;IDANOGAWO
12.04.11;BAWOLATO
12.04.20;HILISERANGKAI
12.04.21;BOTOMUZOI
12.04.27;ULUGAWO
12.04.28;MA'U
12.04.29;SOMOLO-MOLO
12.04.35;SOGAE'ADU
12.05;KAB. LANGKAT
12.05.01;BAHOROK
12.05.02;SALAPIAN
12.05.03;KUALA
12.05.04;SEI BINGEI
12.05.05;BINJAI
12.05.06;SELESAI
12.05.07;STABAT
12.05.08;WAMPU
12.05.09;SECANGGANG
12.05.10;HINAI
12.05.11;TANJUNG PURA
12.05.12;PADANG TUALANG
12.05.13;GEBANG
12.05.14;BABALAN
12.05.15;PANGKALAN SUSU
12.05.16;BESITANG
12.05.17;SEI LEPAN
12.05.18;BERANDAN BARAT
12.05.19;BATANG SERANGAN
12.05.20;SAWIT SEBERANG
12.05.21;SIRAPIT
12.05.22;KUTAMBARU
12.05.23;PEMATANG JAYA
12.06;KAB. KARO
12.06.01;KABANJAHE
12.06.02;BERASTAGI
12.06.03;BARUSJAHE
12.06.04;TIGAPANAH
12.06.05;MEREK
12.06.06;MUNTE
12.06.07;JUHAR
12.06.08;TIGABINANGA
12.06.09;LAUBALENG
12.06.10;MARDINGDING
12.06.11;PAYUNG
12.06.12;SIMPANG EMPAT
12.06.13;KUTABULUH
12.06.14;DOLAT RAYAT
12.06.15;MERDEKA
12.06.16;NAMAN TERAN
12.06.17;TIGANDERKET
12.07;KAB. DELI SERDANG
12.07.01;GUNUNG MERIAH
12.07.02;TANJUNG MORAWA
12.07.03;SIBOLANGIT
12.07.04;KUTALIMBARU
12.07.05;PANCUR BATU
12.07.06;NAMORAMBE
12.07.07;SIBIRU-BIRU
12.07.08;STM HILIR
12.07.09;BANGUN PURBA
12.07.19;GALANG
12.07.20;STM HULU
12.07.21;PATUMBAK
12.07.22;DELI TUA
12.07.23;SUNGGAL
12.07.24;HAMPARAN PERAK
12.07.25;LABUHAN DELI
12.07.26;PERCUT SEI TUAN
12.07.27;BATANG KUIS
12.07.28;LUBUK PAKAM
12.07.31;PAGAR MERBAU
12.07.32;PANTAI LABU
12.07.33;BERINGIN
12.08;KAB. SIMALUNGUN
12.08.01;SIANTAR
12.08.02;GUNUNG MALELA
12.08.03;GUNUNG MALIGAS
12.08.04;PANEI
12.08.05;PANOMBEIAN PANE
12.08.06;JORLANG HATARAN
12.08.07;RAYA KAHEAN
12.08.08;BOSAR MALIGAS
12.08.09;SIDAMANIK
12.08.10;PEMATANG SIDAMANIK
12.08.11;TANAH JAWA
12.08.12;HATONDUHAN
12.08.13;DOLOK PANRIBUAN
12.08.14;PURBA
12.08.15;HARANGGAOL HORISON
12.08.16;GIRSANG SIPANGAN BOLON
12.08.17;DOLOK BATU NANGGAR
12.08.18;HUTA BAYU RAJA
12.08.19;JAWA MARAJA BAH JAMBI
12.08.20;DOLOK PARDAMEAN
12.08.21;PEMATANG BANDAR
12.08.22;BANDAR HULUAN
12.08.23;BANDAR
12.08.24;BANDAR MASILAM
12.08.25;SILIMAKUTA
12.08.26;DOLOK SILAU
12.08.27;SILOU KAHEAN
12.08.28;TAPIAN DOLOK
12.08.29;RAYA
12.08.30;UJUNG PADANG
12.08.31;PAMATANG SILIMA HUTA
12.08.32;DOLOG MASAGAL
12.09;KAB. ASAHAN
12.09.08;MERANTI
12.09.09;AIR JOMAN
12.09.10;TANJUNG BALAI
12.09.11;SEI KEPAYANG
12.09.12;SIMPANG EMPAT
12.09.13;AIR BATU
12.09.14;PULAU RAKYAT
12.09.15;BANDAR PULAU
12.09.16;BUNTU PANE
12.09.17;BANDAR PASIR MANDOGE
12.09.18;AEK KUASAN
12.09.19;KOTA KISARAN BARAT
12.09.20;KOTA KISARAN TIMUR
12.09.21;AEK SONGSONGAN
12.09.22;RAHUNIG
12.09.23;SEI DADAP
12.09.24;SEI KEPAYANG BARAT
12.09.25;SEI KEPAYANG TIMUR
12.09.26;TINGGI RAJA
12.09.27;SETIA JANJI
12.09.28;SILAU LAUT
12.09.29;RAWANG PANCA ARGA
12.09.30;PULO BANDRING
12.09.31;TELUK DALAM
12.09.32;AEK LEDONG
12.10;KAB. LABUHANBATU
12.10.01;RANTAU UTARA
12.10.02;RANTAU SELATAN
12.10.07;BILAH BARAT
12.10.08;BILAH HILIR
12.10.09;BILAH HULU
12.10.14;PANGKATAN
12.10.18;PANAI TENGAH
12.10.19;PANAI HILIR
12.10.20;PANAI HULU
12.11;KAB. DAIRI
12.11.01;SIDIKALANG
12.11.02;SUMBUL
12.11.03;TIGALINGGA
12.11.04;SIEMPAT NEMPU
12.11.05;SILIMA PUNGGA PUNGGA
12.11.06;TANAH PINEM
12.11.07;SIEMPAT NEMPU HULU
12.11.08;SIEMPAT NEMPU HILIR
12.11.09;PEGAGAN HILIR
12.11.10;PARBULUAN
12.11.11;LAE PARIRA
12.11.12;GUNUNG SITEMBER
12.11.13;BERAMPU
12.11.14;SILAHISABUNGAN
12.11.15;SITINJO
12.12;KAB. TOBA SAMOSIR
12.12.01;BALIGE
12.12.02;LAGUBOTI
12.12.03;SILAEN
12.12.04;HABINSARAN
12.12.05;PINTU POHAN MERANTI
12.12.06;BORBOR
12.12.07;PORSEA
12.12.08;AJIBATA
12.12.09;LUMBAN JULU
12.12.10;ULUAN
12.12.19;SIGUMPAR
12.12.20;SIANTAR NARUMONDA
12.12.21;NASSAU
12.12.22;TAMPAHAN
12.12.23;BONATUA LUNASI
12.12.24;PARMAKSIAN
12.13;KAB. MANDAILING NATAL
12.13.01;PANYABUNGAN
12.13.02;PANYABUNGAN UTARA
12.13.03;PANYABUNGAN TIMUR
12.13.04;PANYABUNGAN SELATAN
12.13.05;PANYABUNGAN BARAT
12.13.06;SIABU
12.13.07;BUKIT MALINTANG
12.13.08;KOTANOPAN
12.13.09;LEMBAH SORIK MARAPI
12.13.10;TAMBANGAN
12.13.11;ULU PUNGKUT
12.13.12;MUARA SIPONGI
12.13.13;BATANG NATAL
12.13.14;LINGGA BAYU
12.13.15;BATAHAN
12.13.16;NATAL
12.13.17;MUARA BATANG GADIS
12.13.18;RANTO BAEK
12.13.19;HUTA BARGOT
12.13.20;PUNCAK SORIK MARAPI
12.13.21;PAKANTAN
12.13.22;SINUNUKAN
12.13.23;NAGA JUANG
12.14;KAB. NIAS SELATAN
12.14.01;LOLOMATUA
12.14.02;GOMO
12.14.03;LAHUSA
12.14.04;HIBALA
12.14.05;PULAU-PULAU BATU
12.14.06;TELUK DALAM
12.14.07;AMANDRAYA
12.14.08;LOLOWAU
12.14.09;SUSUA
12.14.10;MANIAMOLO
12.14.11;HILIMEGAI
12.14.12;TOMA
12.14.13;MAZINO
12.14.14;UMBUNASI
12.14.15;ARAMO
12.14.16;PULAU-PULAU BATU TIMUR
12.14.17;MAZO
12.14.18;FANAYAMA
12.14.19;ULUNOYO
12.14.20;HURUNA
12.14.21;O'O'U
12.14.22;ONOHAZUMBA
12.14.23;HILISALAWA'AHE
12.14.24;ULUSUSUA
12.14.25;SIDUA'ORI
12.14.26;SOMAMBAWA
12.14.27;BORONADU
12.14.28;SIMUK
12.14.29;PULAU-PULAU BATU BARAT
12.14.30;PULAU-PULAU BATU UTARA
12.14.31;TANAH MASA
12.14.32;LUAHAGUNDRE MANIAMOLO
12.14.33;ONOLALU
12.14.34;ULU IDANOTAE
12.14.35;IDANOTAE
12.15;KAB. PAKPAK BHARAT
12.15.01;SITELU TALI URANG JEHE
12.15.02;KERAJAAN
12.15.03;SALAK
12.15.04;SITELU TALI URANG JULU
12.15.05;PERGETTENG GETTENG SENGKUT
12.15.06;PAGINDAR
12.15.07;TINADA
12.15.08;SIEMPAT RUBE
12.16;KAB. HUMBANG HASUNDUTAN
12.16.01;PARLILITAN
12.16.02;POLLUNG
12.16.03;BAKTIRAJA
12.16.04;PARANGINAN
12.16.05;LINTONG NIHUTA
12.16.06;DOLOK SANGGUL
12.16.07;SIJAMAPOLANG
12.16.08;ONAN GANJANG
12.16.09;PAKKAT
12.16.10;TARABINTANG
12.17;KAB. SAMOSIR
12.17.01;SIMANINDO
12.17.02;ONAN RUNGGU
12.17.03;NAINGGOLAN
12.17.04;PALIPI
12.17.05;HARIAN
12.17.06;SIANJAR MULA MULA
12.17.07;RONGGUR NIHUTA
12.17.08;PANGURURAN
12.17.09;SITIO-TIO
12.18;KAB. SERDANG BEDAGAI
12.18.01;PANTAI CERMIN
12.18.02;PERBAUNGAN
12.18.03;TELUK MENGKUDU
12.18.04;SEI RAMPAH
12.18.05;TANJUNG BERINGIN
12.18.06;BANDAR KHALIPAH
12.18.07;DOLOK MERAWAN
12.18.08;SIPISPIS
12.18.09;DOLOK MASIHUL
12.18.10;KOTARIH
12.18.11;SILINDA
12.18.12;SERBA JADI
12.18.13;TEBING TINGGI
12.18.14;PEGAJAHAN
12.18.15;SEI BAMBAN
12.18.16;TEBING SYAHBANDAR
12.18.17;BINTANG BAYU
12.19;KAB. BATU BARA
12.19.01;MEDANG DERAS
12.19.02;SEI SUKA
12.19.03;AIR PUTIH
12.19.04;LIMA PULUH
12.19.05;TALAWI
12.19.06;TANJUNG TIRAM
12.19.07;SEI BALAI
12.19.08;LAUT TADOR
12.19.09;LIMA PULUH PESISIR
12.19.10;DATUK LIMA PULUH
12.19.11;DATUK TANAH DATAR
12.19.12;NIBUNG HANGUS
12.20;KAB. PADANG LAWAS UTARA
12.20.01;DOLOK SIGOMPULON
12.20.02;DOLOK
12.20.03;HALONGONAN
12.20.04;PADANG BOLAK
12.20.05;PADANG BOLAK JULU
12.20.06;PORTIBI
12.20.07;BATANG ONANG
12.20.08;SIMANGAMBAT
12.20.09;HULU SIHAPAS
12.20.10;PADANG BOLAK TENGGARA
12.20.11;HALONGONAN TIMUR
12.20.12;UJUNG BATU
12.21;KAB. PADANG LAWAS
12.21.01;SOSOPAN
12.21.02;BARUMUN TENGAH
12.21.03;HURISTAK
12.21.04;LUBUK BARUMUN
12.21.05;HUTA RAJA TINGGI
12.21.06;ULU BARUMUN
12.21.07;BARUMUN
12.21.08;SOSA
12.21.09;BATANG LUBU SUTAM
12.21.10;BARUMUN SELATAN
12.21.11;AEK NABARA BARUMUN
12.21.12;SIHAPAS BARUMUN
12.22;KAB. LABUHANBATU SELATAN
12.22.01;KOTAPINANG
12.22.02;KAMPUNG RAKYAT
12.22.03;TORGAMBA
12.22.04;SUNGAI KANAN
12.22.05;SILANGKITANG
12.23;KAB. LABUHANBATU UTARA
12.23.01;KUALUH HULU
12.23.02;KUALUH LEIDONG
12.23.03;KUALUH HILIR
12.23.04;AEK KUO
12.23.05;MARBAU
12.23.06;NA IX - X
12.23.07;AEK NATAS
12.23.08;KUALUH SELATAN
12.24;KAB. NIAS UTARA
12.24.01;LOTU
12.24.02;SAWO
12.24.03;TUHEMBERUA
12.24.04;SITOLU ORI
12.24.05;NAMOHALU ESIWA
12.24.06;ALASA TALUMUZOI
12.24.07;ALASA
12.24.08;TUGALA OYO
12.24.09;AFULU
12.24.10;LAHEWA
12.24.11;LAHEWA TIMUR
12.25;KAB. NIAS BARAT
12.25.01;LAHOMI
12.25.02;SIROMBU
12.25.03;MANDREHE BARAT
12.25.04;MORO'O
12.25.05;MANDREHE
12.25.06;MANDREHE UTARA
12.25.07;LOLOFITU MOI
12.25.08;ULU MORO'O
12.71;KOTA MEDAN
12.71.01;MEDAN KOTA
12.71.02;MEDAN SUNGGAL
12.71.03;MEDAN HELVETIA
12.71.04;MEDAN DENAI
12.71.05;MEDAN BARAT
12.71.06;MEDAN DELI
12.71.07;MEDAN TUNTUNGAN
12.71.08;MEDAN BELAWAN
12.71.09;MEDAN AMPLAS
12.71.10;MEDAN AREA
12.71.11;MEDAN JOHOR
12.71.12;MEDAN MARELAN
12.71.13;MEDAN LABUHAN
12.71.14;MEDAN TEMBUNG
12.71.15;MEDAN MAIMUN
12.71.16;MEDAN POLONIA
12.71.17;MEDAN BARU
12.71.18;MEDAN PERJUANGAN
12.71.19;MEDAN PETISAH
12.71.20;MEDAN TIMUR
12.71.21;MEDAN SELAYANG
12.72;KOTA PEMATANGSIANTAR
12.72.01;SIANTAR TIMUR
12.72.02;SIANTAR BARAT
12.72.03;SIANTAR UTARA
12.72.04;SIANTAR SELATAN
12.72.05;SIANTAR MARIHAT
12.72.06;SIANTAR MARTOBA
12.72.07;SIANTAR SITALASARI
12.72.08;SIANTAR MARIMBUN
12.73;KOTA SIBOLGA
12.73.01;SIBOLGA UTARA
12.73.02;SIBOLGA KOTA
12.73.03;SIBOLGA SELATAN
12.73.04;SIBOLGA SAMBAS
12.74;KOTA TANJUNG BALAI
12.74.01;TANJUNG BALAI SELATAN
12.74.02;TANJUNG BALAI UTARA
12.74.03;SEI TUALANG RASO
12.74.04;TELUK NIBUNG
12.74.05;DATUK BANDAR
12.74.06;DATUK BANDAR TIMUR
12.75;KOTA BINJAI
12.75.01;BINJAI UTARA
12.75.02;BINJAI KOTA
12.75.03;BINJAI BARAT
12.75.04;BINJAI TIMUR
12.75.05;BINJAI SELATAN
12.76;KOTA TEBING TINGGI
12.76.01;PADANG HULU
12.76.02;RAMBUTAN
12.76.03;PADANG HILIR
12.76.04;BAJENIS
12.76.05;TEBING TINGGI KOTA
12.77;KOTA PADANGSIDIMPUAN
12.77.01;PADANGSIDIMPUAN UTARA
12.77.02;PADANGSIDIMPUAN SELATAN
12.77.03;PADANGSIDIMPUAN BATUNADUA
12.77.04;PADANGSIDIMPUAN HUTAIMBARU
12.77.05;PADANGSIDIMPUAN TENGGARA
12.77.06;PADANGSIDIMPUAN ANGKOLA JULU
12.78;KOTA GUNUNGSITOLI
12.78.01;GUNUNGSITOLI
12.78.02;GUNUNGSITOLI SELATAN
12.78.03;GUNUNGSITOLI UTARA
12.78.04;GUNUNGSITOLI IDANOI
12.78.05;GUNUNGSITOLI ALO'OA
12.78.06;GUNUNGSITOLI BARAT
13;SUMATERA BARAT
13.01;KAB. PESISIR SELATAN
13.01.01;PANCUNG SOAL
13.01.02;RANAH PESISIR
13.01.03;LENGAYANG
13.01.04;BATANG KAPAS
13.01.05;IV JURAI
13.01.06;BAYANG
13.01.07;KOTO XI TARUSAN
13.01.08;SUTERA
13.01.09;LINGGO SARI BAGANTI
13.01.10;LUNANG
13.01.11;BASA AMPEK BALAI TAPAN
13.01.12;IV NAGARI BAYANG UTARA
13.01.13;AIRPURA
13.01.14;RANAH AMPEK HULU TAPAN
13.01.15;SILAUT
13.02;KAB. SOLOK
13.02.03;PANTAI CERMIN
13.02.04;LEMBAH GUMANTI
13.02.05;PAYUNG SEKAKI
13.02.06;LEMBANG JAYA
13.02.07;GUNUNG TALANG
13.02.08;BUKIT SUNDI
13.02.09;IX KOTO SUNGAI LASI
13.02.10;KUBUNG
13.02.11;X KOTO SINGKARAK
13.02.12;X KOTO DIATAS
13.02.13;JUNJUNG SIRIH
13.02.17;HILIRAN GUMANTI
13.02.18;TIGO LURAH
13.02.19;DANAU KEMBAR
13.03;KAB. SIJUNJUNG
13.03.03;TANJUNG GADANG
13.03.04;SIJUNJUNG
13.03.05;IV NAGARI
13.03.06;KAMANG BARU
13.03.07;LUBUAK TAROK
13.03.08;KOTO VII
13.03.09;SUMPUR KUDUS
13.03.10;KUPITAN
13.04;KAB. TANAH DATAR
13.04.01;X KOTO
13.04.02;BATIPUH
13.04.03;RAMBATAN
13.04.04;LIMA KAUM
13.04.05;TANJUNG EMAS
13.04.06;LINTAU BUO
13.04.07;SUNGAYANG
13.04.08;SUNGAI TARAB
13.04.09;PARIANGAN
13.04.10;SALIMPAUANG
13.04.11;PADANG GANTING
13.04.12;TANJUANG BARU
13.04.13;LINTAU BUO UTARA
13.04.14;BATIPUAH SELATAN
13.05;KAB. PADANG PARIAMAN
13.05.01;LUBUK ALUNG
13.05.02;BATANG ANAI
13.05.03;NAN SABARIS
13.05.04;2 X 11 ENAM LINGKUANG
13.05.05;VII KOTO SUNGAI SARIK
13.05.06;V KOTO KAMPUNG DALAM
13.05.07;SUNGAI GARINGGING
13.05.08;SUNGAI LIMAU
13.05.09;IV KOTO AUR MALINTANG
13.05.10;ULAKAN TAPAKIH
13.05.11;SINTUAK TOBOH GADANG
13.05.12;PADANG SAGO
13.05.13;BATANG GASAN
13.05.14;V KOTO TIMUR
13.05.15;2 X 11 KAYU TANAM
13.05.16;PATAMUAN
13.05.17;ENAM LINGKUNG
13.06;KAB. AGAM
13.06.01;TANJUNG MUTIARA
13.06.02;LUBUK BASUNG
13.06.03;TANJUNG RAYA
